time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-12-31T22:39:39.800Z,37.5498333,-118.8645,2.914,3.9,ml,25,60,0.04144,0.06,nc,nc1109382,2016-12-11T22:42:12.140Z,"13 km W of Aspen Springs, California",earthquake,0.32,0.45,,0,reviewed,nc,nc
1983-12-31T14:36:00.030Z,36.328,-120.517,14.095,2.56,md,54,91,0.109,0.16,nc,nc1109367,2016-12-11T22:41:03.020Z,"22 km SSW of Three Rocks, California",earthquake,0.24,0.54,0.11,71,reviewed,nc,nc
1983-12-31T13:35:20.050Z,35.9648333,-118.3325,-1.048,2.65,ml,35,114,,0.19,ci,ci28202,2016-04-01T23:40:11.571Z,"25km NNE of Kernville, CA",earthquake,0.63,0.85,,5,reviewed,ci,ci
1983-12-31T13:30:05.100Z,35.9588333,-118.3273333,-1.168,2.86,ml,34,140,0.1896,0.17,ci,ci28201,2016-04-02T02:54:15.174Z,"24km NNE of Kernville, CA",earthquake,0.74,0.82,,4,reviewed,ci,ci
1983-12-31T12:10:13.220Z,44.264,-114.113,10,3.6,ml,,,,0.9,us,usp00020ym,2014-11-07T00:34:18.028Z,"22 km E of Clayton, Idaho",earthquake,,,,,reviewed,us,us
1983-12-31T11:59:56.100Z,37.21,-89.01,2.1,2.6,md,,,,,nm,nm602107,2016-04-14T16:01:32.630Z,"4 km SSE of New Grand Chain, Illinois",earthquake,,,,,reviewed,nm,nm
1983-12-31T02:09:11.430Z,33.062,-116.192,6.206,3.13,ml,0,56.4,,0.207,ci,ci28176,2016-02-03T02:04:30.550Z,"11km SSW of Ocotillo Wells, CA",earthquake,,19.957,,6,reviewed,ci,ci
1983-12-31T01:59:25.480Z,37.674,-118.194,4.201,2.88,ml,0,130.4,,2.071,ci,ci28175,2016-02-02T19:25:15.590Z,"38km NNE of Dixon Lane-Meadow Creek, CA",earthquake,,,,4,reviewed,ci,ci
1983-12-30T16:23:53.270Z,46.3495,-122.4121667,6.923,2.6,md,31,53,,0.22,uw,uw10173668,2016-07-24T23:15:43.350Z,"20 km SSE of Mossyrock, Washington",earthquake,0.59,0.98,0.06,7,reviewed,uw,uw
1983-12-30T02:49:56.870Z,31.794,-116.428,5.456,2.62,mc,0,0,0.8852,0.239,ci,ci28104,2016-02-02T22:03:18.800Z,"16km ENE of Maneadero, B.C., MX",earthquake,,,,13,reviewed,ci,ci
1983-12-30T01:51:28.870Z,34.1668333,-117.3501667,3.751,2.85,ml,33,35,,0.26,ci,ci28099,2016-04-02T02:53:14.682Z,"2km NNW of Muscoy, CA",earthquake,0.49,1.9,,4,reviewed,ci,ci
1983-12-29T23:10:51.980Z,33.9805,-116.4393333,4.968,2.58,mc,25,75,,0.12,ci,ci28091,2016-04-02T12:32:20.570Z,"6km ENE of Desert Hot Springs, CA",earthquake,0.42,1.54,,36,reviewed,ci,ci
1983-12-29T19:50:02.660Z,34.17,-117.3463333,7.287,2.85,ml,17,124,,0.12,ci,ci28066,2016-04-02T02:53:13.285Z,"2km N of Muscoy, CA",earthquake,0.66,2.53,,6,reviewed,ci,ci
1983-12-29T19:49:13.890Z,34.171,-117.3603333,4.561,2.87,ml,30,45,,0.16,ci,ci28327,2016-04-02T12:33:03.515Z,"2km NW of Muscoy, CA",earthquake,0.4,3.47,,7,reviewed,ci,ci
1983-12-29T19:46:16.830Z,34.1716667,-117.3556667,6.501,3.58,ml,36,42,,0.14,ci,ci28325,2016-04-01T20:23:22.260Z,"2km NNW of Muscoy, CA",earthquake,0.29,1.99,,10,reviewed,ci,ci
1983-12-29T16:05:24.470Z,44.419,-114.059,10,3.8,ml,,,,0.7,us,usp00020wh,2014-11-07T00:34:17.719Z,"16 km SE of Challis, Idaho",earthquake,,,,,reviewed,us,us
1983-12-29T10:46:05.220Z,46.2625,-122.6478333,13.45,3,md,33,117,,0.21,uw,uw10173518,2016-07-24T23:15:41.640Z,"20 km E of Castle Rock, Washington",earthquake,1.078,1.55,0.06,8,reviewed,uw,uw
1983-12-29T07:30:51.320Z,35.902,-118.323,4.242,2.62,ml,34,190,0.1455,0.18,ci,ci28031,2016-04-01T23:41:04.387Z,"19km NNE of Kernville, CA",earthquake,0.8,18.87,,5,reviewed,ci,ci
1983-12-29T07:23:29.800Z,35.904,-118.3166667,-0.956,3.23,ml,34,190,0.1505,0.16,ci,ci28029,2016-04-02T02:55:07.960Z,"19km NNE of Kernville, CA",earthquake,0.75,0.88,,11,reviewed,ci,ci
1983-12-29T03:44:39.830Z,44.289,-114.047,10,3.3,ml,,,,0.5,us,usp00020w8,2014-11-07T00:34:17.688Z,"28 km SSE of Challis, Idaho",earthquake,,,,,reviewed,us,us
1983-12-28T23:58:07.730Z,38.812,-122.8095,2.17,2.51,md,29,48,0.01261,0.08,nc,nc1109241,2016-12-11T22:32:47.772Z,"7 km W of Cobb, California",earthquake,0.17,0.38,0.13,24,reviewed,nc,nc
1983-12-28T23:03:13.690Z,36.5426667,-121.1306667,4.996,2.74,md,62,44,0.05495,0.06,nc,nc1109236,2016-12-11T22:32:27.460Z,"21 km NE of Soledad, California",earthquake,0.15,0.39,0.16,81,reviewed,nc,nc
1983-12-28T22:30:07.900Z,38.31,-90.27,2.8,2.9,md,,,,,nm,nm602102,2016-04-14T16:01:02.240Z,"0 km NE of Valmeyer, Illinois",earthquake,,,,,reviewed,nm,nm
1983-12-28T20:25:48.880Z,36.0776667,-120.2205,6.98,2.57,md,37,129,0.09099,0.1,nc,nc1109227,2016-12-11T22:31:43.030Z,"11 km NW of Avenal, California",earthquake,0.26,0.45,0.14,41,reviewed,nc,nc
1983-12-28T19:10:31.470Z,34.351,-119.835,2.101,2.64,mc,0,0,,0.318,ci,ci27981,2016-02-02T22:03:15.840Z,"7km SSE of Isla Vista, CA",earthquake,,,,20,reviewed,ci,ci
1983-12-28T12:24:21.000Z,47.01,-76.33,18,3.4,mblg,,,,,us,usp00020vm,2014-11-07T00:34:17.647Z,"62 km NNW of Saint-Boniface, Canada",earthquake,,,,,reviewed,ott,ott
1983-12-28T10:11:17.990Z,32.097,-116.31,5.798,2.51,mc,0,0,0.6392,0.194,ci,ci27963,2016-02-03T02:04:26.780Z,"39km NE of Ensenada, B.C., MX",earthquake,,,,5,reviewed,ci,ci
1983-12-28T08:20:23.370Z,37.4763333,-118.8055,7.215,3.04,md,23,127,0.06757,0.04,nc,nc1109198,2016-12-11T22:29:48.760Z,"11 km SW of Aspen Springs, California",earthquake,0.42,0.76,0.18,27,reviewed,nc,nc
1983-12-28T08:16:53.610Z,44.281,-114.089,11.2,4,ml,,,,0.6,us,usp00020vb,2014-11-07T00:34:17.614Z,"24 km E of Clayton, Idaho",earthquake,,1.2,,,reviewed,us,us
1983-12-28T05:05:23.100Z,35.9438333,-118.326,-0.896,2.87,mc,23,207,0.1773,0.14,ci,ci27958,2016-02-03T04:05:28.750Z,"23km NNE of Kernville, CA",earthquake,0.73,0.92,,36,reviewed,ci,ci
