STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
California,Alameda County,1680614,1643856,1635693,1638142,1649060
California,Alpine County,1179,1203,1169,1126,1099
California,Amador County,40584,41245,41486,41798,42026
California,Butte County,210222,206351,207384,207354,208334
California,Calaveras County,45350,46262,46544,46580,46505
California,Colusa County,21868,21931,21952,22093,22074
California,Contra Costa County,1166165,1163813,1160296,1162179,1172607
California,Del Norte County,27616,27581,26758,26571,27009
California,El Dorado County,191250,193724,193071,192440,192823
California,Fresno County,1009613,1012879,1017107,1019899,1024125
California,Glenn County,28889,28714,28371,28190,28304
California,Humboldt County,136324,134978,135013,134009,132380
California,Inyo County,18999,18920,18745,18548,18485
California,Kings County,152797,152724,152776,153281,154913
California,Lake County,68200,68623,68239,67934,67764
California,Lassen County,32319,31884,30401,28838,28340
California,Madera County,156434,159019,160414,163402,165432
California,Marin County,261341,259254,257143,255706,256400
California,Mariposa County,17133,17136,17095,16996,17048
California,Mendocino County,91362,91303,90027,89354,89175
California,Merced County,282963,284834,292034,294402,296774
California,Modoc County,8677,8640,8625,8566,8491
California,Mono County,13225,13263,13055,13207,12991
California,Monterey County,440506,439245,436427,435637,436251
California,Napa County,137465,136219,134492,133444,132727
California,Nevada County,102267,103499,102356,102086,102195
California,Placer County,405951,412968,418439,424599,433822
California,Plumas County,19761,19965,19433,19120,18834
California,Sacramento County,1586727,1588824,1588743,1594506,1611231
California,San Benito County,64533,66703,67715,68341,69159
California,San Francisco County,874826,815498,814176,819151,827526
California,San Joaquin County,780676,788096,795880,805909,816108
California,San Mateo County,762727,739330,732485,734267,742893
California,Santa Clara County,1924802,1878320,1883653,1897137,1926325
California,Santa Cruz County,271768,260904,265851,263699,262406
California,Shasta County,182190,182243,180972,180656,181121
California,Sierra County,3229,3298,3215,3180,3113
California,Siskiyou County,43999,44144,43746,42941,42498
California,Solano County,452887,450819,449724,451060,455101
California,Sonoma County,488501,484561,483398,483366,485375
California,Stanislaus County,553710,552939,552410,553921,556972
California,Sutter County,99479,99121,98682,98457,98545
California,Tehama County,65690,65467,65269,64959,64451
California,Trinity County,16095,16102,15777,15684,15642
California,Tulare County,473944,476939,478288,480747,483546
California,Tuolumne County,55397,55126,53951,54123,53893
California,Yolo County,217768,213545,223338,222919,225251
California,Yuba County,82001,83035,84335,85695,87469
Oregon,Baker County,16731,16884,16933,16904,16750
Oregon,Benton County,93615,93031,97406,98566,98899
Oregon,Clackamas County,422512,423892,423217,424396,425857
Oregon,Clatsop County,41157,41930,41595,41089,41043
Oregon,Columbia County,52716,53177,53589,53918,54063
Oregon,Coos County,64976,65143,65135,64557,64326
Oregon,Crook County,24930,25767,26393,26960,27336
Oregon,Curry County,23518,23724,23614,23273,22774
Oregon,Deschutes County,199470,205318,206491,208857,211535
Oregon,Douglas County,111292,112153,112226,112435,112255
Oregon,Gilliam County,2015,2011,2012,2035,1971
Oregon,Grant County,7233,7284,7221,7216,7093
Oregon,Harney County,7504,7601,7537,7451,7402
Oregon,Hood River County,23897,24025,24028,23811,23764
Oregon,Jackson County,223755,224649,222153,221338,221331
Oregon,Jefferson County,24578,25100,25319,25480,25536
Oregon,Josephine County,88228,88599,87786,88001,88276
Oregon,Klamath County,69631,70415,70404,70347,70438
Oregon,Lake County,8174,8294,8365,8307,8194
Oregon,Lane County,384221,386082,386187,382151,382396
Oregon,Lincoln County,50517,51028,50756,51307,51212
Oregon,Linn County,128967,130062,130516,131509,132474
Oregon,Malheur County,31643,31682,31868,32262,32315
Oregon,Marion County,346305,347784,349388,349874,352867
Oregon,Morrow County,12220,12359,12257,12303,12360
Oregon,Multnomah County,816321,804934,795960,794271,795897
Oregon,Polk County,88003,89480,89986,90290,90549
Oregon,Sherman County,1873,1909,1953,1954,2002
Oregon,Tillamook County,27462,27814,27516,27423,27264
Oregon,Umatilla County,79893,79713,79732,79872,80491
Oregon,Union County,26168,26287,26167,26038,26058
Oregon,Wallowa County,7400,7553,7647,7643,7522
Oregon,Wasco County,26610,26707,26535,26402,26507
Oregon,Washington County,601045,602356,600229,604831,611272
Oregon,Wheeler County,1459,1452,1434,1436,1456
Oregon,Yamhill County,107740,108081,107817,109146,110886
Washington,Adams County,20609,20653,20843,20857,21039
Washington,Asotin County,22328,22476,22497,22510,22523
Washington,Benton County,207426,210627,212838,215445,218190
Washington,Chelan County,79307,79854,80032,80439,81228
Washington,Clallam County,77365,78476,77675,77589,77958
Washington,Clark County,505363,512662,517036,522467,527269
Washington,Columbia County,3953,4019,4018,4055,4025
Washington,Cowlitz County,111021,111701,112058,113040,113982
Washington,Douglas County,43032,43847,44147,45010,45795
Washington,Ferry County,7197,7290,7435,7472,7543
Washington,Franklin County,97152,98107,98461,99554,101238
Washington,Garfield County,2297,2348,2355,2360,2404
Washington,Grant County,99445,100437,101308,103088,104717
Washington,Grays Harbor County,75863,76859,77080,77570,77893
Washington,Island County,87007,87581,86744,86369,86478
Washington,Jefferson County,33061,33558,33597,33725,33944
